Average Effective Clock,CPU Overall Power Consumption,GPU Power,GPU Effective Clock,FPS
2295.4,99.895,305.353,1950.3,113
2598.2,104.135,341.418,1941.3,146
2741.5,107.012,345.209,1948.2,147
2660.6,105.918,342.61,1937.2,150
2598.3,103.853,345.456,1936.8,152
2464.6,101.549,309.994,1457.6,145
2593.0,104.649,344.323,1944.0,147
2622.2,105.539,347.015,1937.2,160
2623.1,104.788,346.303,1930.5,155
2639.1,105.518,345.247,1932.1,151
2744.0,109.849,346.627,1932.5,164
2623.4,106.089,342.611,1939.9,148
2993.8,116.077,341.579,1940.9,147
3018.7,116.602,345.929,1946.1,150
2790.1,109.063,343.503,1935.2,148
2743.5,109.217,344.779,1939.7,136
2750.2,109.465,341.47,1939.2,140
2723.8,107.792,345.696,1939.7,141
2760.1,108.815,347.211,1931.7,143
2614.8,106.272,345.8,1908.3,148
2643.3,106.445,347.682,1917.0,165
2628.0,105.63,347.765,1923.2,162
2653.5,106.471,345.328,1928.1,155
2658.6,106.148,347.72,1934.3,152
2672.8,106.56,347.418,1935.3,157
2812.0,111.277,341.161,1938.6,155
3341.3,127.952,342.376,1943.9,145
2881.8,112.364,347.423,1945.1,149
2882.3,113.217,345.029,1938.0,148
2997.3,117.926,347.816,1939.2,155
2619.9,106.168,345.567,1931.9,153
2622.5,106.057,347.363,1934.2,155
2790.0,110.762,342.458,1941.8,145
2875.5,113.884,339.765,1942.0,135
2867.6,113.995,347.074,1938.6,141
2867.9,113.656,343.621,1938.3,139
2813.5,112.484,342.827,1938.0,138
2861.2,113.528,343.377,1938.2,136
2887.8,114.377,344.093,1938.0,137
2866.5,113.913,344.191,1938.1,137
2840.9,112.828,346.749,1949.4,140
2831.1,112.623,340.697,1939.4,136
2864.5,113.328,348.527,1938.1,144
2710.2,109.219,347.177,1933.7,137
2768.9,111.741,343.561,1938.7,139
2723.7,110.826,346.933,1938.3,138
2807.5,111.694,347.457,1934.5,142
2847.4,112.573,346.049,1930.8,146
2844.7,112.609,343.389,1937.8,143
2861.1,113.74,348.862,1942.6,142
2809.8,112.831,343.11,1934.3,135
2866.5,114.967,344.175,1938.8,135
2882.0,114.149,346.736,1933.9,145
2704.7,110.331,345.801,1929.3,142
2751.8,111.254,345.75,1931.5,138
2756.5,111.541,347.027,1932.6,137
2808.9,113.233,345.901,1917.6,137
2790.7,112.32,347.426,1910.0,136
2795.0,113.068,348.346,1913.7,127
2521.4,106.405,344.896,1897.0,135
2521.2,106.662,348.053,1902.4,132
2603.9,108.942,347.244,1893.6,137
2622.0,109.044,347.404,1899.0,139
2557.1,107.223,347.506,1903.2,137
2632.1,109.053,347.89,1904.0,137
2611.2,108.239,348.388,1906.8,142
2756.5,111.698,347.712,1921.2,141
2680.8,109.595,347.612,1910.1,140
2752.7,110.682,348.242,1908.8,152
2645.7,108.081,348.184,1899.9,148
2581.2,107.598,347.54,1906.9,140
2581.0,106.853,348.332,1921.7,153
2612.9,106.862,348.247,1908.1,148
2617.1,107.706,346.584,1905.5,153
2590.4,106.618,344.527,1896.3,153
2589.8,106.862,347.412,1900.3,156
2539.9,105.654,346.355,1899.2,156
2851.4,112.579,346.895,1933.7,153
2947.2,116.24,345.908,1926.0,153
2857.4,113.979,347.689,1934.4,149
2786.0,111.013,343.819,1925.2,155
3015.6,118.161,345.33,1931.8,151
2726.6,109.218,346.714,1920.2,158
2784.3,110.751,345.547,1931.6,155
2850.7,112.065,347.944,1917.3,177
2784.1,109.649,345.727,1907.9,174
2854.9,111.561,343.129,1912.6,183
2728.5,109.416,345.281,1925.2,168
2757.2,111.615,346.936,1923.7,155
2796.8,111.719,347.175,1923.5,163
2720.2,110.568,347.372,1932.8,147
2688.2,109.181,329.481,1940.3,132
2704.9,108.442,344.193,1929.6,159
2738.0,109.637,344.73,1925.8,157
2687.4,108.856,347.318,1929.6,151
2776.4,111.104,341.206,1935.6,136
2750.2,111.142,344.633,1922.6,156
2813.1,112.171,348.322,1938.6,150
2797.8,112.262,346.231,1923.8,150
3414.2,127.778,325.658,1919.0,129
3971.9,142.074,323.991,1941.9,127
2928.8,115.38,344.347,1921.5,132
2751.0,111.335,345.591,1926.1,149
3028.7,116.339,348.116,1925.7,148
3106.9,119.702,344.957,1924.9,144
3617.8,138.404,334.376,1939.9,131
2897.7,114.055,340.943,1939.8,148
2873.7,112.974,343.971,1939.2,146
3044.7,115.973,347.208,1922.6,171
3130.0,117.544,345.127,1921.1,180
3131.9,117.538,346.756,1919.4,169
3122.2,118.05,348.124,1922.3,170
3101.2,117.595,346.571,1921.5,171
3078.7,116.899,345.641,1923.4,168
2991.1,114.544,344.323,1922.4,163
3070.5,117.247,346.137,1921.6,167
3106.4,117.963,347.199,1918.5,171
3164.3,119.01,346.589,1920.7,179
3114.4,117.467,345.154,1919.5,175
3002.7,115.092,345.659,1922.4,165
